Feature ,Leaf id,Y = 0,Y = 1,Y = 2,Y = 3,Y = 4,Y = 5,Y = 6,Y = 7,Y = 8,Y = 9,Y = 10,Y = 11,Y = 12,Y = 13,Y = 14,Y = 15,Y = 16,Y = 17,Y = 18,Y = 19,Y = 20,Y = 21,Y = 22,Y = 23,Y = 24,Y = 25, Preferred Class, P(Y) = 0,P(Y) = 1,P(Y) = 2,P(Y) = 3,P(Y) = 4,P(Y) = 5,P(Y) = 6,P(Y) = 7,P(Y) = 8,P(Y) = 9,P(Y) = 10,P(Y) = 11,P(Y) = 12,P(Y) = 13,P(Y) = 14,P(Y) = 15,P(Y) = 16,P(Y) = 17,P(Y) = 18,P(Y) = 19,P(Y) = 20,P(Y) = 21,P(Y) = 22,P(Y) = 23,P(Y) = 24,P(Y) = 25,
1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,2,789.0,766.0,736.0,805.0,768.0,558.0,773.0,729.0,755.0,746.0,739.0,761.0,791.0,781.0,753.0,656.0,776.0,736.0,748.0,401.0,813.0,520.0,738.0,787.0,746.0,733.0,20,0.042,0.041,0.039,0.043,0.041,0.03,0.041,0.039,0.04,0.039,0.039,0.04,0.042,0.041,0.04,0.035,0.041,0.039,0.04,0.021,0.043,0.028,0.039,0.042,0.039,0.039,
2,3,0.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,30.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204,0.0,0.0,0.0,0.445,0.0,0.0,0.0,0.0,0.046,0.0,
2,4,0.0,0.0,0.0,0.0,0.0,19.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,14.0,7.0,22.0,0.0,105.0,0.0,244.0,14.0,0.0,10.0,1.0,21,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.011,0.0,0.002,0.0,0.0,0.002,0.004,0.0,0.031,0.016,0.049,0.0,0.236,0.0,0.548,0.031,0.0,0.022,0.002,
2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,2,789.0,766.0,736.0,805.0,768.0,558.0,773.0,729.0,755.0,746.0,739.0,761.0,791.0,781.0,753.0,656.0,776.0,736.0,748.0,401.0,813.0,520.0,738.0,787.0,746.0,733.0,20,0.042,0.041,0.039,0.043,0.041,0.03,0.041,0.039,0.04,0.039,0.039,0.04,0.042,0.041,0.04,0.035,0.041,0.039,0.04,0.021,0.043,0.028,0.039,0.042,0.039,0.039,
3,3,0.0,0.0,0.0,0.0,0.0,175.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,124.0,0.0,6.0,2.0,0.0,24.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.506,0.0,0.012,0.0,0.003,0.0,0.0,0.0,0.003,0.0,0.023,0.0,0.0,0.0,0.358,0.0,0.017,0.006,0.0,0.069,0.003,
3,4,0.0,0.0,0.0,0.0,0.0,42.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,139.0,7.0,22.0,0.0,271.0,0.0,238.0,12.0,0.0,16.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.185,0.009,0.029,0.0,0.361,0.0,0.317,0.016,0.0,0.021,0.0,
3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,2,789.0,766.0,736.0,805.0,768.0,558.0,773.0,729.0,755.0,746.0,739.0,761.0,791.0,781.0,753.0,656.0,776.0,736.0,748.0,401.0,813.0,520.0,738.0,787.0,746.0,733.0,20,0.042,0.041,0.039,0.043,0.041,0.03,0.041,0.039,0.04,0.039,0.039,0.04,0.042,0.041,0.04,0.035,0.041,0.039,0.04,0.021,0.043,0.028,0.039,0.042,0.039,0.039,
4,3,0.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,37.0,0.0,123.0,8.0,0.0,19.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211,0.0,0.0,0.0,0.078,0.0,0.259,0.017,0.0,0.04,0.002,
4,4,0.0,0.0,0.0,0.0,0.0,31.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,47.0,7.0,22.0,0.0,358.0,0.0,121.0,6.0,0.0,21.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.008,0.0,0.002,0.0,0.0,0.002,0.003,0.0,0.076,0.011,0.035,0.0,0.576,0.0,0.195,0.01,0.0,0.034,0.0,
4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,2,368.0,130.0,385.0,186.0,248.0,198.0,279.0,183.0,531.0,457.0,217.0,410.0,91.0,239.0,234.0,206.0,168.0,164.0,253.0,106.0,350.0,230.0,103.0,307.0,372.0,278.0,8,0.055,0.019,0.058,0.028,0.037,0.03,0.042,0.027,0.079,0.068,0.032,0.061,0.014,0.036,0.035,0.031,0.025,0.025,0.038,0.016,0.052,0.034,0.015,0.046,0.056,0.042,
5,3,421.0,636.0,351.0,619.0,520.0,360.0,494.0,546.0,224.0,289.0,522.0,351.0,700.0,542.0,519.0,450.0,608.0,572.0,495.0,295.0,463.0,290.0,635.0,480.0,374.0,455.0,12,0.034,0.052,0.029,0.051,0.043,0.029,0.04,0.045,0.018,0.024,0.043,0.029,0.057,0.044,0.043,0.037,0.05,0.047,0.041,0.024,0.038,0.024,0.052,0.039,0.031,0.037,
5,4,0.0,0.0,0.0,0.0,0.0,217.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,147.0,7.0,22.0,0.0,395.0,0.0,244.0,14.0,0.0,40.0,1.0,19,0.0,0.0,0.0,0.0,0.0,0.198,0.0,0.005,0.0,0.001,0.0,0.0,0.001,0.002,0.0,0.134,0.006,0.02,0.0,0.36,0.0,0.223,0.013,0.0,0.036,0.001,
5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,2,789.0,747.0,422.0,664.0,334.0,551.0,687.0,728.0,630.0,722.0,686.0,518.0,791.0,781.0,686.0,656.0,751.0,734.0,521.0,271.0,685.0,520.0,738.0,347.0,661.0,144.0,12,0.05,0.047,0.027,0.042,0.021,0.035,0.044,0.046,0.04,0.046,0.044,0.033,0.05,0.05,0.044,0.042,0.048,0.047,0.033,0.017,0.043,0.033,0.047,0.022,0.042,0.009,
6,3,0.0,19.0,314.0,141.0,434.0,7.0,86.0,1.0,125.0,24.0,53.0,243.0,0.0,0.0,67.0,0.0,25.0,2.0,227.0,130.0,128.0,0.0,0.0,440.0,85.0,589.0,25,0.0,0.006,0.1,0.045,0.138,0.002,0.027,0.0,0.04,0.008,0.017,0.077,0.0,0.0,0.021,0.0,0.008,0.001,0.072,0.041,0.041,0.0,0.0,0.14,0.027,0.188,
6,4,0.0,0.0,0.0,0.0,0.0,217.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,147.0,7.0,22.0,0.0,395.0,0.0,244.0,14.0,0.0,40.0,1.0,19,0.0,0.0,0.0,0.0,0.0,0.198,0.0,0.005,0.0,0.001,0.0,0.0,0.001,0.002,0.0,0.134,0.006,0.02,0.0,0.36,0.0,0.223,0.013,0.0,0.036,0.001,
6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,2,783.0,755.0,698.0,804.0,743.0,754.0,741.0,716.0,755.0,746.0,709.0,732.0,766.0,749.0,748.0,732.0,754.0,757.0,740.0,481.0,609.0,263.0,344.0,746.0,211.0,733.0,3,0.045,0.043,0.04,0.046,0.042,0.043,0.042,0.041,0.043,0.042,0.04,0.042,0.044,0.043,0.043,0.042,0.043,0.043,0.042,0.027,0.035,0.015,0.02,0.042,0.012,0.042,
7,3,6.0,11.0,38.0,1.0,25.0,17.0,32.0,18.0,0.0,1.0,15.0,29.0,24.0,29.0,5.0,71.0,29.0,1.0,8.0,299.0,6.0,223.0,398.0,31.0,286.0,1.0,22,0.004,0.007,0.024,0.001,0.016,0.011,0.02,0.011,0.0,0.001,0.009,0.018,0.015,0.018,0.003,0.044,0.018,0.001,0.005,0.186,0.004,0.139,0.248,0.019,0.178,0.001,
7,4,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,15.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,16.0,198.0,278.0,10.0,10.0,289.0,0.0,24,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.018,0.0,0.002,0.006,0.0,0.0,0.0,0.0,0.0,0.019,0.239,0.336,0.012,0.012,0.349,0.0,
7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,2,42.0,4.0,1.0,14.0,7.0,20.0,0.0,3.0,3.0,15.0,6.0,1.0,18.0,34.0,1.0,8.0,0.0,5.0,35.0,176.0,43.0,8.0,20.0,3.0,174.0,16.0,19,0.064,0.006,0.002,0.021,0.011,0.03,0.0,0.005,0.005,0.023,0.009,0.002,0.027,0.052,0.002,0.012,0.0,0.008,0.053,0.268,0.065,0.012,0.03,0.005,0.265,0.024,
8,3,77.0,679.0,12.0,747.0,1.0,646.0,60.0,200.0,171.0,198.0,47.0,308.0,148.0,354.0,161.0,763.0,53.0,351.0,338.0,212.0,64.0,236.0,182.0,196.0,197.0,179.0,15,0.012,0.103,0.002,0.114,0.0,0.098,0.009,0.03,0.026,0.03,0.007,0.047,0.022,0.054,0.024,0.116,0.008,0.053,0.051,0.032,0.01,0.036,0.028,0.03,0.03,0.027,
8,4,670.0,83.0,723.0,44.0,760.0,109.0,713.0,531.0,581.0,534.0,686.0,452.0,626.0,395.0,591.0,32.0,730.0,402.0,375.0,408.0,706.0,520.0,550.0,588.0,415.0,539.0,4,0.052,0.007,0.057,0.003,0.06,0.009,0.056,0.042,0.046,0.042,0.054,0.035,0.049,0.031,0.046,0.003,0.057,0.031,0.029,0.032,0.055,0.041,0.043,0.046,0.033,0.042,
8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,2,42.0,4.0,1.0,14.0,7.0,20.0,0.0,3.0,3.0,15.0,6.0,1.0,18.0,34.0,1.0,8.0,0.0,5.0,35.0,176.0,43.0,8.0,20.0,3.0,174.0,16.0,19,0.064,0.006,0.002,0.021,0.011,0.03,0.0,0.005,0.005,0.023,0.009,0.002,0.027,0.052,0.002,0.012,0.0,0.008,0.053,0.268,0.065,0.012,0.03,0.005,0.265,0.024,
9,3,701.0,693.0,246.0,715.0,494.0,235.0,491.0,546.0,691.0,631.0,495.0,674.0,268.0,575.0,553.0,550.0,400.0,749.0,558.0,63.0,43.0,27.0,59.0,598.0,6.0,587.0,17,0.06,0.059,0.021,0.061,0.042,0.02,0.042,0.047,0.059,0.054,0.042,0.058,0.023,0.049,0.047,0.047,0.034,0.064,0.048,0.005,0.004,0.002,0.005,0.051,0.001,0.05,
9,4,46.0,69.0,489.0,76.0,267.0,520.0,282.0,185.0,61.0,101.0,238.0,86.0,506.0,174.0,199.0,245.0,383.0,4.0,155.0,557.0,727.0,729.0,673.0,186.0,606.0,131.0,21,0.006,0.009,0.064,0.01,0.035,0.068,0.037,0.024,0.008,0.013,0.031,0.011,0.066,0.023,0.026,0.032,0.05,0.001,0.02,0.072,0.094,0.095,0.087,0.024,0.079,0.017,
9,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
