Feature ,Leaf id,Y = 0,Y = 1,Y = 2,Y = 3,Y = 4,Y = 5,Y = 6,Y = 7,Y = 8,Y = 9,Y = 10,Y = 11,Y = 12,Y = 13,Y = 14,Y = 15,Y = 16,Y = 17,Y = 18,Y = 19,Y = 20,Y = 21,Y = 22,Y = 23,Y = 24,Y = 25, Preferred Class, P(Y) = 0,P(Y) = 1,P(Y) = 2,P(Y) = 3,P(Y) = 4,P(Y) = 5,P(Y) = 6,P(Y) = 7,P(Y) = 8,P(Y) = 9,P(Y) = 10,P(Y) = 11,P(Y) = 12,P(Y) = 13,P(Y) = 14,P(Y) = 15,P(Y) = 16,P(Y) = 17,P(Y) = 18,P(Y) = 19,P(Y) = 20,P(Y) = 21,P(Y) = 22,P(Y) = 23,P(Y) = 24,P(Y) = 25,
2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,1,0.0,0.0,149.0,0.0,191.0,262.0,0.0,8.0,0.0,0.0,231.0,306.0,30.0,46.0,3.0,130.0,0.0,0.0,0.0,41.0,196.0,222.0,212.0,26.0,189.0,1.0,11,0.0,0.0,0.066,0.0,0.085,0.117,0.0,0.004,0.0,0.0,0.103,0.136,0.013,0.021,0.001,0.058,0.0,0.0,0.0,0.018,0.087,0.099,0.095,0.012,0.084,0.0,
2,2,789.0,766.0,587.0,805.0,577.0,513.0,773.0,726.0,755.0,747.0,508.0,455.0,762.0,737.0,750.0,673.0,783.0,758.0,748.0,755.0,617.0,542.0,540.0,761.0,597.0,733.0,3,0.044,0.043,0.033,0.045,0.032,0.029,0.044,0.041,0.043,0.042,0.029,0.026,0.043,0.042,0.042,0.038,0.044,0.043,0.042,0.043,0.035,0.031,0.03,0.043,0.034,0.041,
2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,1.0,23.0,0.0,0.0,11.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,13.0,0.0,11,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.832,0.003,0.058,0.0,0.0,0.028,0.0,0.0,0.0,0.036,0.005,0.0,0.0,0.033,0.0,
3,2,787.0,766.0,736.0,805.0,768.0,775.0,773.0,734.0,755.0,747.0,739.0,433.0,791.0,760.0,753.0,803.0,772.0,758.0,748.0,796.0,799.0,762.0,752.0,787.0,773.0,734.0,3,0.04,0.039,0.038,0.041,0.039,0.04,0.039,0.037,0.039,0.038,0.038,0.022,0.04,0.039,0.038,0.041,0.039,0.039,0.038,0.041,0.041,0.039,0.038,0.04,0.039,0.037,
3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,1,7.0,54.0,0.0,348.0,0.0,393.0,15.0,16.0,70.0,56.0,3.0,114.0,17.0,84.0,11.0,669.0,1.0,0.0,25.0,279.0,2.0,55.0,0.0,7.0,150.0,6.0,15,0.003,0.023,0.0,0.146,0.0,0.165,0.006,0.007,0.029,0.024,0.001,0.048,0.007,0.035,0.005,0.281,0.0,0.0,0.01,0.117,0.001,0.023,0.0,0.003,0.063,0.003,
4,2,782.0,712.0,736.0,457.0,768.0,382.0,758.0,718.0,685.0,691.0,736.0,647.0,775.0,699.0,742.0,134.0,782.0,758.0,723.0,517.0,811.0,709.0,752.0,780.0,636.0,728.0,20,0.044,0.04,0.042,0.026,0.044,0.022,0.043,0.041,0.039,0.039,0.042,0.037,0.044,0.04,0.042,0.008,0.044,0.043,0.041,0.029,0.046,0.04,0.043,0.044,0.036,0.041,
4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.003,0.0,
5,2,789.0,766.0,736.0,805.0,768.0,775.0,773.0,734.0,755.0,747.0,739.0,459.0,792.0,783.0,753.0,803.0,783.0,758.0,748.0,796.0,812.0,764.0,752.0,787.0,785.0,734.0,20,0.04,0.039,0.037,0.041,0.039,0.039,0.039,0.037,0.038,0.038,0.038,0.023,0.04,0.04,0.038,0.041,0.04,0.038,0.038,0.04,0.041,0.039,0.038,0.04,0.04,0.037,
5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,1,64.0,139.0,620.0,226.0,383.0,555.0,281.0,108.0,40.0,29.0,528.0,491.0,131.0,174.0,69.0,441.0,11.0,311.0,73.0,416.0,386.0,353.0,377.0,128.0,337.0,69.0,2,0.009,0.021,0.092,0.034,0.057,0.082,0.042,0.016,0.006,0.004,0.078,0.073,0.019,0.026,0.01,0.065,0.002,0.046,0.011,0.062,0.057,0.052,0.056,0.019,0.05,0.01,
6,2,725.0,627.0,116.0,579.0,385.0,220.0,492.0,626.0,715.0,718.0,211.0,270.0,661.0,609.0,684.0,362.0,772.0,447.0,675.0,380.0,427.0,411.0,375.0,659.0,449.0,665.0,16,0.055,0.047,0.009,0.044,0.029,0.017,0.037,0.047,0.054,0.054,0.016,0.02,0.05,0.046,0.052,0.027,0.058,0.034,0.051,0.029,0.032,0.031,0.028,0.05,0.034,0.05,
6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,1,768.0,766.0,620.0,782.0,751.0,395.0,772.0,734.0,462.0,214.0,736.0,718.0,783.0,741.0,753.0,534.0,769.0,758.0,702.0,663.0,786.0,744.0,750.0,780.0,730.0,599.0,20,0.043,0.043,0.035,0.044,0.042,0.022,0.043,0.041,0.026,0.012,0.041,0.04,0.044,0.042,0.042,0.03,0.043,0.043,0.039,0.037,0.044,0.042,0.042,0.044,0.041,0.034,
7,2,21.0,0.0,116.0,23.0,17.0,380.0,1.0,0.0,293.0,533.0,3.0,43.0,9.0,42.0,0.0,269.0,14.0,0.0,46.0,133.0,27.0,20.0,2.0,7.0,56.0,135.0,9,0.01,0.0,0.053,0.011,0.008,0.174,0.0,0.0,0.134,0.243,0.001,0.02,0.004,0.019,0.0,0.123,0.006,0.0,0.021,0.061,0.012,0.009,0.001,0.003,0.026,0.062,
7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,1,420.0,445.0,267.0,415.0,422.0,27.0,462.0,433.0,416.0,47.0,371.0,537.0,496.0,474.0,410.0,59.0,530.0,443.0,342.0,351.0,527.0,368.0,453.0,456.0,428.0,210.0,11,0.043,0.045,0.027,0.042,0.043,0.003,0.047,0.044,0.042,0.005,0.038,0.055,0.051,0.048,0.042,0.006,0.054,0.045,0.035,0.036,0.054,0.038,0.046,0.046,0.044,0.021,
8,2,369.0,321.0,469.0,390.0,346.0,748.0,311.0,301.0,339.0,700.0,368.0,224.0,296.0,309.0,343.0,744.0,253.0,315.0,406.0,445.0,286.0,396.0,299.0,331.0,358.0,524.0,5,0.036,0.031,0.046,0.038,0.034,0.073,0.031,0.03,0.033,0.069,0.036,0.022,0.029,0.03,0.034,0.073,0.025,0.031,0.04,0.044,0.028,0.039,0.029,0.032,0.035,0.051,
8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,1,497.0,319.0,298.0,315.0,359.0,349.0,301.0,271.0,579.0,491.0,225.0,429.0,190.0,261.0,273.0,301.0,303.0,294.0,289.0,372.0,253.0,304.0,160.0,329.0,348.0,349.0,8,0.059,0.038,0.035,0.037,0.042,0.041,0.036,0.032,0.068,0.058,0.027,0.051,0.022,0.031,0.032,0.036,0.036,0.035,0.034,0.044,0.03,0.036,0.019,0.039,0.041,0.041,
9,2,292.0,447.0,438.0,490.0,409.0,426.0,472.0,463.0,176.0,256.0,514.0,332.0,602.0,522.0,480.0,502.0,480.0,464.0,459.0,424.0,560.0,460.0,592.0,458.0,438.0,385.0,12,0.025,0.039,0.038,0.042,0.035,0.037,0.041,0.04,0.015,0.022,0.045,0.029,0.052,0.045,0.042,0.043,0.042,0.04,0.04,0.037,0.049,0.04,0.051,0.04,0.038,0.033,
9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,1,574.0,1.0,1.0,25.0,2.0,0.0,26.0,5.0,13.0,220.0,1.0,576.0,44.0,3.0,8.0,0.0,109.0,0.0,57.0,0.0,66.0,0.0,2.0,0.0,12.0,31.0,11,0.323,0.001,0.001,0.014,0.001,0.0,0.015,0.003,0.007,0.124,0.001,0.324,0.025,0.002,0.005,0.0,0.061,0.0,0.032,0.0,0.037,0.0,0.001,0.0,0.007,0.017,
10,2,215.0,765.0,735.0,780.0,766.0,775.0,747.0,729.0,742.0,527.0,738.0,185.0,748.0,780.0,745.0,803.0,674.0,758.0,691.0,796.0,747.0,764.0,750.0,787.0,774.0,703.0,15,0.012,0.042,0.04,0.043,0.042,0.043,0.041,0.04,0.041,0.029,0.04,0.01,0.041,0.043,0.041,0.044,0.037,0.042,0.038,0.044,0.041,0.042,0.041,0.043,0.042,0.039,
10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,1,642.0,549.0,478.0,532.0,461.0,103.0,658.0,495.0,453.0,114.0,459.0,683.0,711.0,550.0,643.0,258.0,699.0,649.0,460.0,462.0,629.0,607.0,662.0,519.0,566.0,406.0,12,0.048,0.041,0.036,0.04,0.034,0.008,0.049,0.037,0.034,0.008,0.034,0.051,0.053,0.041,0.048,0.019,0.052,0.048,0.034,0.034,0.047,0.045,0.049,0.039,0.042,0.03,
11,2,147.0,217.0,258.0,273.0,307.0,672.0,115.0,239.0,302.0,633.0,280.0,78.0,81.0,233.0,110.0,545.0,84.0,109.0,288.0,334.0,184.0,157.0,90.0,268.0,220.0,328.0,5,0.022,0.033,0.039,0.042,0.047,0.103,0.018,0.036,0.046,0.097,0.043,0.012,0.012,0.036,0.017,0.083,0.013,0.017,0.044,0.051,0.028,0.024,0.014,0.041,0.034,0.05,
11,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,1,783.0,755.0,698.0,804.0,743.0,758.0,741.0,716.0,755.0,746.0,722.0,732.0,768.0,754.0,748.0,732.0,754.0,757.0,740.0,482.0,807.0,530.0,353.0,756.0,256.0,733.0,20,0.043,0.042,0.039,0.044,0.041,0.042,0.041,0.04,0.042,0.041,0.04,0.04,0.042,0.042,0.041,0.04,0.042,0.042,0.041,0.027,0.045,0.029,0.019,0.042,0.014,0.04,
12,2,6.0,11.0,38.0,1.0,25.0,17.0,32.0,18.0,0.0,1.0,17.0,29.0,24.0,29.0,5.0,71.0,29.0,1.0,8.0,314.0,6.0,234.0,399.0,31.0,530.0,1.0,24,0.003,0.006,0.02,0.001,0.013,0.009,0.017,0.01,0.0,0.001,0.009,0.015,0.013,0.015,0.003,0.038,0.015,0.001,0.004,0.167,0.003,0.125,0.213,0.017,0.282,0.001,
12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,1,772.0,709.0,725.0,787.0,761.0,771.0,722.0,684.0,755.0,747.0,682.0,754.0,130.0,706.0,710.0,779.0,764.0,695.0,746.0,790.0,751.0,715.0,204.0,786.0,769.0,734.0,19,0.043,0.039,0.04,0.043,0.042,0.042,0.04,0.038,0.042,0.041,0.038,0.042,0.007,0.039,0.039,0.043,0.042,0.038,0.041,0.044,0.041,0.039,0.011,0.043,0.042,0.04,
13,2,17.0,57.0,11.0,18.0,7.0,4.0,51.0,50.0,0.0,0.0,57.0,7.0,662.0,77.0,43.0,24.0,19.0,63.0,2.0,6.0,62.0,49.0,548.0,1.0,17.0,0.0,12,0.009,0.031,0.006,0.01,0.004,0.002,0.028,0.027,0.0,0.0,0.031,0.004,0.357,0.042,0.023,0.013,0.01,0.034,0.001,0.003,0.033,0.026,0.296,0.001,0.009,0.0,
13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
